100,Bob,Nunez,330033,RB,449,694,62293
101,Jimmy,Jones,110011,WR,455,883,39191
102,Mike,Nunez,110011,WR,528,13,53761
103,Dave,Nunez,440044,RB,38,55,59405
104,Jimmy,Smith,110011,QB,175,362,55680
105,Bob,Smith,550055,WR,486,104,25050
106,Mike,Jones,220022,WR,779,581,46420
107,Bob,Perez,110011,WR,311,47,24407
108,Dave,Nunez,220022,WR,602,587,65799
109,Mike,Nunez,440044,WR,724,426,51915
110,Mike,Jones,440044,RB,6,734,42226
111,Billy,Smith,110011,QB,402,863,28812
112,Jimmy,Perez,440044,QB,860,149,56437
113,Dave,Nunez,110011,WR,833,379,14295
114,Mike,Jameson,330033,QB,955,787,55756
115,Billy,Perez,110011,WR,489,494,13020
116,Billy,Jameson,110011,WR,460,166,30418
117,Bob,Nunez,220022,WR,177,465,26391
118,Mike,Smith,440044,QB,297,545,58258
119,Bob,Jones,110011,WR,603,748,67315
120,Mike,Nunez,330033,RB,805,201,54137
121,Mike,Perez,330033,WR,677,514,45727
122,Jimmy,Jameson,110011,QB,516,35,30702
123,Bob,Nunez,550055,WR,888,515,43791
124,Billy,Perez,330033,QB,168,295,33614
125,Jimmy,Perez,440044,WR,591,466,42958
126,Dave,Smith,440044,QB,39,338,60223
127,Mike,Nunez,220022,WR,500,530,21829
128,Bob,Jones,220022,RB,216,331,60222
129,Dave,Perez,220022,QB,683,125,44846
130,Jimmy,Jameson,550055,WR,696,314,51021
131,Billy,Jones,330033,WR,849,696,62119
132,Billy,Smith,220022,WR,178,14,62072
133,Dave,Perez,440044,QB,582,988,34173
134,Dave,Jameson,330033,WR,761,322,10222
135,Jimmy,Jones,110011,RB,982,757,50065
136,Mike,Jameson,440044,RB,269,881,33104
137,Billy,Nunez,110011,QB,137,346,60301
138,Jimmy,Nunez,220022,RB,897,173,46748
139,Jimmy,Jones,330033,RB,117,777,18402
140,Billy,Jameson,550055,RB,946,47,25980
141,Mike,Perez,550055,RB,326,357,37069
142,Billy,Jones,110011,QB,449,324,66923
143,Dave,Nunez,550055,RB,857,501,10891
144,Jimmy,Jameson,110011,WR,9,948,67178
145,Bob,Nunez,440044,RB,740,825,60905
146,Billy,Jones,550055,WR,551,873,24391
147,Jimmy,Nunez,330033,RB,278,331,24238
148,Jimmy,Perez,330033,QB,472,100,43022
149,Bob,Perez,440044,QB,837,852,31291
150,Dave,Jones,110011,QB,531,141,23803
151,Mike,Smith,550055,WR,23,174,43658
152,Mike,Jones,110011,RB,504,862,33913
153,Mike,Nunez,110011,RB,64,508,58120
154,Billy,Jones,330033,QB,94,586,27814
155,Billy,Nunez,550055,RB,636,16,69028
156,Mike,Jones,330033,RB,574,404,20591
157,Billy,Smith,440044,WR,575,27,36024
158,Dave,Jones,440044,RB,718,496,55121
159,Bob,Perez,330033,WR,780,551,13117
160,Billy,Jameson,550055,RB,265,475,51077
161,Mike,Perez,220022,WR,574,963,34394
162,Billy,Perez,110011,WR,596,285,43575
163,Dave,Jones,550055,WR,474,720,41128
164,Dave,Smith,220022,QB,999,218,39749
165,Mike,Nunez,440044,RB,425,36,13589
166,Bob,Jameson,440044,QB,389,346,46821
167,Dave,Perez,220022,WR,358,427,11594
168,Jimmy,Jameson,550055,QB,149,118,51057
169,Dave,Jones,330033,RB,376,245,12745
170,Jimmy,Nunez,220022,QB,877,242,15496
171,Mike,Jones,220022,RB,934,156,32688
172,Bob,Jones,110011,QB,760,256,59443
173,Bob,Nunez,110011,QB,309,95,42607
174,Mike,Smith,550055,QB,449,595,24694
175,Mike,Jameson,110011,WR,6,596,45024
176,Billy,Nunez,550055,WR,272,309,34346
177,Billy,Perez,330033,RB,80,534,17974
178,Dave,Jones,110011,WR,156,268,28210
179,Bob,Perez,330033,RB,966,711,22311
180,Jimmy,Perez,110011,QB,302,265,54491
181,Mike,Smith,220022,QB,973,426,38613
182,Jimmy,Jameson,550055,WR,837,473,67017
183,Bob,Jones,440044,RB,234,88,44519
184,Mike,Jameson,440044,RB,659,553,29170
185,Jimmy,Jameson,440044,WR,449,55,54907
186,Dave,Jameson,110011,RB,533,112,14472
187,Bob,Nunez,330033,WR,70,611,24685
188,Mike,Nunez,440044,RB,384,197,35867
189,Jimmy,Smith,220022,QB,709,336,55022
190,Dave,Jameson,440044,QB,137,115,23963
191,Jimmy,Jameson,550055,WR,43,844,40100
192,Billy,Perez,330033,WR,631,826,53291
193,Mike,Jones,440044,WR,712,20,64051
194,Dave,Jameson,220022,WR,889,667,35978
195,Mike,Smith,330033,QB,792,710,11313
196,Billy,Jameson,440044,RB,786,706,16775
197,Dave,Jones,550055,RB,59,274,52327
198,Billy,Nunez,110011,QB,956,114,41037
199,Jimmy,Smith,330033,RB,241,256,48220
